Name,X,Y,Z
1 G. Caeli,80.91,-83.53,-30.81
1 Geminorum,19.78,3.56,-153.81
1 Hydrae,60.91,28.53,-54.91
1 i Centauri,38.47,29.78,40.47
1 Kappa Cygni,-117.75,37.78,11.19
10 Arietis,-79.09,-88.22,-105.88
10 Canum Venaticorum,-9.38,55.44,-7.00
10 Delta Coronae Borealis,-73.06,130.03,81.69
10 G. Canis Majoris,96.56,-38.28,-80.31
10 Hydrae,123.47,99.78,-138.31
10 Iota Cygni,-116.38,32.03,12.63
10 Kappa Pegasi,-102.41,-39.75,19.94
10 Rho-3 Eridani,10.97,-107.38,-82.06
10 Serpentis,-10.03,90.13,92.59
10 Tauri,3.25,-29.94,-34.19
10 Theta Piscium,-93.59,-115.38,0.16
10 Ursae Majoris,0.03,34.91,-39.09
101 Tauri,12.06,-35.38,-127.78
108 Herculis,-146.34,59.19,93.00
109 Herculis,-87.97,31.09,73.78
109 Piscium,-51.41,-69.19,-62.16
109 Virginis,6.06,106.09,82.41
11 Aquilae,-113.84,11.09,108.91
11 Bootis,-49.41,285.25,65.22
11 Cephei,-167.31,43.97,-57.88
11 Leonis Minoris,3.78,27.72,-24.34
11 Mu Aurigae,-30.00,0.75,-150.03
11 Virginis,56.69,131.75,8.00
110 Herculis,-48.00,10.88,38.75
111 Tauri,6.06,-7.91,-45.88
114 G. Aquilae,-97.06,-28.28,79.16
119 G. Aquarii,-60.81,-148.00,90.38
12 Andromedae,-123.47,-49.63,-32.09
12 Aquarii,-57.06,57.03,68.81
12 d Bootis,-19.50,115.81,33.19
12 G. Canis Minoris,85.91,30.44,-148.06
12 Gamma-1 Delphini,-104.56,-36.03,55.59
12 Kappa Arietis,-82.78,-108.19,-120.13
12 Lambda Coronae Borealis,-76.16,103.44,43.31
12 Persei,-42.84,-23.69,-61.91
12 Sextantis,118.47,133.19,-79.50
128 Carinae,102.34,-25.63,-80.31
13 Lambda Crateris,107.41,88.72,12.13
13 Orionis,18.03,-27.00,-84.22
13 Trianguli,-48.75,-47.94,-76.31
132 G. Aquarii,-87.03,-96.41,43.41
133 G. Canis Major,136.50,-24.69,-69.38
14 Eridani,15.22,-86.31,-68.91
14 Herculis,-36.72,41.69,14.13
14 i Orionis,41.44,-59.47,-179.63
14 Ophiuchi,-49.78,86.56,151.31
14 Psi Cancri,35.25,64.31,-113.22
14 Tau Ursae Majoris,-46.59,81.03,-84.97
14 Vulpeculae,-140.47,-10.53,76.28
15 Delphini,-80.97,-33.50,47.91
15 f Leonis,32.00,121.59,-98.75
15 Geminorum,12.28,5.06,-57.25
15 Lambda Aurigae,-8.56,1.50,-40.28
15 Pegasi,-83.63,-30.19,10.84
15 Psi Scorpii,-6.97,73.53,136.94
15 Ursae Majoris,-15.91,63.59,-67.38
157 G. Aquarii,-44.53,-64.69,26.56
16 c Ursae Majoris,-21.38,41.84,-43.22
16 Cephei,-108.00,30.03,-42.25
16 Cygni,-66.56,15.53,7.50
16 Eta Sagittae,-137.41,-18.44,80.63
16 Librae,8.28,62.78,60.72
16 Lyrae,-113.53,37.03,25.53
16 Persei,-61.19,-38.13,-96.91
16 Piscium,-56.94,-83.50,0.53
16 Tau Coronae Borealis,-65.47,82.84,40.53
169 G. Canis Majoris,88.13,3.00,-75.72
17 Beta Piscis Austrini,-18.66,-123.59,69.09
17 Crateris,73.00,44.13,17.63
17 Cygni,-64.53,5.00,24.59
17 Kappa-1 Bootis,-73.28,132.38,-7.34
17 Lyrae,-119.91,25.38,58.06
17 Theta Sagittae,-128.09,-18.09,71.03
17 Virginis,36.63,89.84,10.44
171 G. Aquarii,-64.16,-87.91,29.53
18 Aquarii,-74.31,-99.09,90.91
18 Camelopardalis,-57.94,31.97,-122.56
18 Ceti,-22.09,-97.88,-12.56
18 Comae Berenices,17.91,200.03,-7.00
18 e Ursae Majoris,-24.63,80.03,-81.56
18 Lambda Piscium,-58.59,-89.09,-1.47
18 Leonis Minoris,24.78,128.22,-95.09
18 Puppis,58.69,13.94,-41.13
18 Scorpii,-3.53,21.66,39.66
19 Aquilae,-97.34,-4.22,113.19
19 Leonis Minoris,0.31,72.81,-55.91
19 Phi-2 Ceti,-12.31,-49.22,-8.28
19 Xi Coronae Borealis,-102.53,126.91,83.84
2 Lambda Equulei,-199.41,-112.56,131.63
2 Lyncis,-60.41,52.59,-134.56
2 Omega Leonis,60.59,71.22,-62.13
20 Aquarii,-128.75,-121.22,108.28
20 Arietis,-63.94,-74.53,-96.03
20 Cephei,-290.66,31.16,-80.31
20 Leonis Minoris,7.78,39.41,-28.19
20 Ophiuchi,-14.28,36.19,96.75
21 Draco,-60.03,45.66,8.09
21 Eridani,17.13,-76.59,-77.00
21 Eta Cygni,-127.69,7.31,43.13
21 Eta Ursae Minoris,-74.63,56.25,-26.00
21 Leonis Minoris,9.06,75.31,-52.25
22 g Leonis,39.25,103.97,-77.03
22 Gamma Piscis Austrini,-21.91,-194.16,90.75
22 Lyncis,-11.66,29.88,-57.72
23 Andromedae,-95.63,-40.94,-46.31
23 Arietis,-40.72,-64.44,-71.38
23 Delta Piscis Austrini,-15.97,-139.78,63.00
23 h Ursae Majoris,-28.19,52.19,-50.16
23 H. Camelopardalis,-37.00,26.25,-36.63
23 Librae,26.47,38.59,71.50
233 G. Aquarii,-49.19,-191.59,49.84
234 G. Carinae,93.72,-21.97,41.38
239 G. Aquarii,-75.22,-134.06,13.47
24 Aquarii,-94.88,-86.31,64.19
24 Canum Venaticorum,-69.31,165.56,-17.22
24 G. Carinae,164.03,-65.38,-1.97
24 Iota Crateris,60.00,62.66,8.38
241 G. Aquarii,-41.78,-73.97,6.47
25 Arietis,-30.88,-86.63,-79.41
25 chi Capricorni,-63.53,-115.06,122.72
25 d2 Cancri,59.78,70.78,-113.59
25 G. Canis Minoris,68.34,29.34,-104.44
25 Nu-2 Draconis,-82.81,54.13,10.19
26 Alpha Monocerotis,108.28,17.94,-98.97
26 Arietis,-77.78,-128.84,-154.19
26 Draconis,-39.00,24.91,-0.66
26 Ophiuchi,3.88,19.06,108.19
27 b1 Cygni,-74.75,2.50,22.56
27 G. Caeli,75.84,-62.09,-33.34
27 Kappa Persei,-59.41,-21.44,-93.41
28 Beta Serpentis,-46.28,113.97,94.44
28 Cephei,-175.78,64.06,-86.38
28 Doradus,194.53,-125.13,12.75
28 Omega Piscium,-60.47,-84.09,-12.72
29 Arietis,-29.09,-63.63,-68.16
29 Ceti,-57.75,-137.28,-53.13
2MASS 1503+2525,-6.19,18.00,8.13
2MASS J07464256+2000321 A,12.97,14.16,-34.88
3 Beta Lacertae,-166.03,-12.63,-34.22
3 Corvi,139.88,118.59,56.31
3 Upsilon Ophiuchi,-13.56,53.88,108.94
30 Ceti,-32.09,-146.13,-35.63
30 Lyncis,-29.75,60.47,-81.22
30 Serpentis,-10.97,105.00,141.06
31 Aquilae,-36.63,-2.03,33.25
31 Arietis,-29.00,-76.38,-78.53
31 Beta Leonis Minoris,9.19,131.75,-79.03
31 Cephei,-159.25,41.63,-70.41
31 d1 Virginis,72.66,218.28,38.69
